year,month,usd
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,-3620
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,6,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,1110
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,7,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,2500
2009,8,3890
2009,8,3890
2009,8,2500
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,2500
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,2500
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,8,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,2160
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,2500
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,2160
2009,9,3890
2009,9,3890
2009,9,3890
2009,9,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,10,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,11,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2009,12,3890
2010,1,3890
2010,1,1110
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,1110
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,3890
2010,1,6560
2010,1,2160
2010,1,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,3890
2010,2,1110
2010,3,2500
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,3890
2010,3,1940
2010,3,3890
2010,4,3890
2010,4,3890
2010,4,3890
2010,4,2160
2010,4,3890
2010,4,3890
2010,4,2160
2010,4,3890
2010,4,3890
2010,4,2500
2010,4,2500
2010,4,3890
2010,4,3890
2010,4,1110
2010,4,1110
2010,4,1110
2010,4,1110
2010,5,3890
2010,5,3890
2010,5,1110
2010,5,2160
2010,5,3890
2010,5,3890
2010,5,3890
2010,5,3890
2010,5,3890
2010,5,3890
2010,6,2160
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,2160
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,2160
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,6,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,2160
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,-2510
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,1110
2010,7,2160
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,2500
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
2010,7,3890
